matchday,league,K,combo_odd,won,pnl,cumulative
2025-10-26,T1,3,5.634999999999999,False,-1000.0,-5999.339999999998
2025-10-26,E0,2,2.6826999999999996,False,-1000.0,-6999.339999999998
2025-10-26,SP1,2,4.488,False,-1000.0,-7999.339999999998
2025-11-01,E0,2,3.528,False,-1000.0,-8999.339999999998
2025-11-01,SP1,2,1.5678,True,567.8000000000001,-8431.539999999999
2025-11-02,SP1,2,1.8564,True,856.4000000000001,-7575.139999999999
2025-11-08,E0,2,1.9992,False,-1000.0,-8575.14
2025-11-08,D1,3,3.2281199999999997,False,-1000.0,-9575.14
2025-11-08,SP1,2,2.8547999999999996,True,1854.7999999999995,-7720.34
2025-11-09,E0,2,4.7142,False,-1000.0,-8720.34
2025-11-09,SP1,2,3.3136,False,-1000.0,-9720.34
2025-11-09,F1,2,6.6286,False,-1000.0,-10720.34
2025-11-22,E0,2,3.2424,False,-1000.0,-11720.34
2025-11-22,D1,3,5.145440999999999,True,4145.440999999999,-7574.899000000001
2025-11-22,SP1,2,3.9057,False,-1000.0,-8574.899000000001
2025-11-22,F1,2,5.4093,True,4409.3,-4165.599000000001
2025-11-23,E0,2,3.3663,True,2366.2999999999997,-1799.2990000000013
2025-11-23,SP1,2,3.178,False,-1000.0,-2799.2990000000013
2025-11-29,T1,3,5.9724,False,-1000.0,-3799.2990000000013
2025-11-29,E0,2,1.83,True,830.0000000000001,-2969.2990000000013
2025-11-29,D1,3,3.931200000000001,False,-1000.0,-3969.2990000000013
2025-11-29,SP1,2,1.5625,True,562.5,-3406.7990000000013
2025-11-29,F1,2,3.1919999999999997,False,-1000.0,-4406.799000000001
2025-11-30,E0,2,3.6896999999999998,False,-1000.0,-5406.799000000001
2025-11-30,D1,3,8.722175,False,-1000.0,-6406.799000000001
2025-11-30,SP1,2,3.5465999999999993,False,-1000.0,-7406.799000000001
2025-11-30,F1,2,3.077,True,2077.0,-5329.799000000001
2025-12-02,E0,2,4.1255,False,-1000.0,-6329.799000000001
2025-12-03,E0,2,3.5024,False,-1000.0,-7329.799000000001
2025-12-06,E0,2,2.8196000000000003,False,-1000.0,-8329.799
2025-12-06,D1,3,7.251054999999999,False,-1000.0,-9329.799
2025-12-06,SP1,2,3.1323999999999996,True,2132.3999999999996,-7197.399000000001
2025-12-07,SP1,2,2.5728,False,-1000.0,-8197.399000000001
2025-12-13,E0,2,3.618,True,2618.0,-5579.399000000001
2025-12-13,SP1,2,3.144,True,2144.0,-3435.3990000000013
2025-12-14,E0,2,4.142,False,-1000.0,-4435.399000000001
2025-12-14,D1,3,5.209919999999999,False,-1000.0,-5435.399000000001
2025-12-14,F1,2,2.5584,True,1558.3999999999999,-3876.9990000000016
2025-12-20,E0,2,1.7611999999999999,False,-1000.0,-4876.999000000002
2025-12-20,SP1,2,5.351999999999999,False,-1000.0,-5876.999000000002
2025-12-21,SP1,2,3.0975,True,2097.5,-3779.4990000000016
2025-12-27,E0,2,2.1812,True,1181.2,-2598.299000000002
2025-12-30,E0,2,2.1666,False,-1000.0,-3598.299000000002
2026-01-01,E0,2,2.1311999999999998,False,-1000.0,-4598.299000000002
2026-01-03,E0,2,2.9988,True,1998.8000000000002,-2599.4990000000016
2026-01-03,SP1,2,4.7379999999999995,True,3737.9999999999995,1138.500999999998
2026-01-04,E0,2,2.5012,False,-1000.0,138.50099999999793
2026-01-04,SP1,2,3.3651999999999997,False,-1000.0,-861.4990000000021
2026-01-07,E0,2,2.6622,False,-1000.0,-1861.499000000002
2026-01-10,SP1,2,3.0396,False,-1000.0,-2861.499000000002
2026-01-11,SP1,2,4.6513,False,-1000.0,-3861.499000000002
2026-01-13,D1,3,4.1108720000000005,True,3110.8720000000003,-750.6270000000018
