match_date,home,away,score,selection,p_raw,p_calibrated,market_odds,closing_odds,edge_pct,stake,won,pnl,bankroll_after,clv_pct
2024-01-14,Samsunspor,Sivasspor,2-0,Under 2.5,0.5352910307375581,0.6008226881425003,1.8,1.79,8.148083865650047,255.41341989985267,True,204.33073591988216,12742.90663235125,0.5586592178770999
2024-01-14,Gaziantep,Fenerbahce,0-1,Over 2.5,0.6776681066740802,0.6975183657307125,1.57,1.56,9.510383419721858,382.28719897053753,False,-382.28719897053753,12360.619433380713,0.6410256410256387
2024-01-15,Galatasaray,Kayserispor,2-1,Under 2.5,0.39152739635484046,0.39882575680835564,2.88,3.55,14.861817960806412,195.42688925713873,False,-195.42688925713873,12165.192544123574,-18.873239436619716
2024-01-20,Pendikspor,Besiktas,4-0,Over 2.5,0.6560900816926662,0.6560228994525695,1.7,1.67,11.523892906936828,364.9557763237072,True,255.46904342659508,12420.66158755017,1.7964071856287456
2024-01-21,Konyaspor,Antalyaspor,1-1,Under 2.5,0.5933691227291704,0.690378013292978,1.65,1.66,13.91237219334136,372.6198476265051,True,242.20290095722822,12662.864488507399,-0.6024096385542133
2024-01-21,Sivasspor,Gaziantep,2-2,Under 2.5,0.5227803405030307,0.5978484714004196,1.83,1.83,9.406270266276806,287.01283307021555,False,-287.01283307021555,12375.851655437184,0.0
2024-01-23,Pendikspor,Kasimpasa,3-2,Over 2.5,0.6874639964025753,0.6999180950983003,1.62,1.54,13.386731405924657,371.2755496631155,True,230.19084079113168,12606.042496228316,5.1948051948051965
2024-01-24,Antalyaspor,Sivasspor,2-1,Under 2.5,0.5559441323523995,0.6422859291541649,1.75,2.05,12.400037601978875,378.18127488684945,False,-378.18127488684945,12227.861221341467,-14.634146341463406
2024-01-24,Buyuksehyr,Fenerbahce,0-1,Under 2.5,0.4833790298652736,0.5432812598009535,2.08,2.18,13.00250203859834,294.4310934410926,True,317.9855809163801,12545.846802257847,-4.587155963302758
2024-01-25,Samsunspor,Kayserispor,2-0,Under 2.5,0.4652641022176496,0.5177006717749342,2.03,2.14,5.093236370311627,124.07565675653885,True,127.79792645923499,12673.644728717081,-5.140186915887868
