league,match_date,home,away,score,selection,p_raw,p_calibrated,market_odds,closing_odds,edge_pct,stake,won,pnl,bankroll_after,clv_pct
E0,2023-12-06,Fulham,Nott'm Forest,5-0,Over 2.5,0.4945514993667519,0.5556722498344954,2.06,2.16,14.468483465906058,280.08614952882715,True,296.89131850055685,10556.823508358604,-4.629629629629628
E0,2023-12-09,Crystal Palace,Liverpool,1-2,Under 2.5,0.543388737442837,0.5024338649920026,2.2,2.28,10.53545029824059,185.36814896601632,False,-185.36814896601632,10371.455359392588,-3.50877192982455
E0,2023-12-09,Brighton,Burnley,1-1,Over 2.5,0.6542199888895314,0.7304105539680404,1.57,1.72,14.674456972982352,311.14366078177767,False,-311.14366078177767,10060.31169861081,-8.720930232558132
E0,2023-12-09,Aston Villa,Arsenal,1-0,Over 2.5,0.589571241577161,0.6581691109968182,1.7,1.76,11.888748869459098,301.80935095832433,False,-301.80935095832433,9758.502347652486,-3.409090909090917
E0,2023-12-10,Luton,Man City,1-2,Over 2.5,0.727492308196292,0.8059084548141776,1.36,1.56,9.603549854728154,292.7550704295746,True,105.39182535464687,9863.894173007133,-12.82051282051282
E0,2023-12-10,Everton,Chelsea,2-0,Under 2.5,0.5810990594643408,0.5497903032167406,2.05,1.99,12.70701215943182,238.74404418238157,True,250.68124639150062,10114.575419398634,3.015075376884413
E0,2023-12-10,Tottenham,Newcastle,4-1,Over 2.5,0.6202027466901174,0.6929901212150482,1.53,1.52,6.027488545902382,230.05844334751316,True,121.93097497418199,10236.506394372816,0.6578947368421018
E0,2023-12-15,Nott'm Forest,Tottenham,0-2,Over 2.5,0.6196655893325229,0.6923883351405803,1.62,1.75,12.166910292774013,307.0951918311845,False,-307.0951918311845,9929.411202541633,-7.428571428571418
E0,2023-12-16,Chelsea,Sheffield United,2-0,Over 2.5,0.65463566069794,0.7249137829617818,1.5,1.43,8.737067444267277,297.882336076249,False,-297.882336076249,9631.528866465384,4.895104895104896
E0,2023-12-16,Newcastle,Fulham,3-0,Over 2.5,0.5813081369016723,0.6436152910457907,1.7,1.81,9.414599477784424,259.07710467568745,True,181.3539732729812,9812.882839738364,-6.077348066298349
E0,2023-12-22,Aston Villa,Sheffield United,1-1,Over 2.5,0.722162731059187,0.7944874058205182,1.44,1.4,14.406186438154634,294.38648519215093,False,-294.38648519215093,9518.496354546212,2.857142857142869
E0,2023-12-23,Liverpool,Arsenal,1-1,Over 2.5,0.5930029972660323,0.6455687784774222,1.7,1.64,9.746692341161767,265.06815862351954,False,-265.06815862351954,9253.428195922694,3.658536585365857
E0,2023-12-23,Nott'm Forest,Bournemouth,2-3,Over 2.5,0.4934605455482063,0.5418956761307072,1.95,1.94,5.669656845487903,110.45002634788186,True,104.92752503048776,9358.355720953181,0.5154639175257714
E0,2023-12-23,Luton,Newcastle,1-0,Over 2.5,0.6022126082339408,0.6549080963071846,1.75,1.89,14.608916853757314,280.7506716285954,False,-280.7506716285954,9077.605049324586,-7.4074074074074066
E0,2023-12-24,Wolves,Chelsea,2-1,Under 2.5,0.6004022043168773,0.5598453920105464,2.04,2.09,14.208459970151477,248.03613070802538,False,-248.03613070802538,8829.56891861656,-2.392344497607646
E0,2023-12-26,Bournemouth,Fulham,3-0,Over 2.5,0.5702540881053534,0.6223077678221784,1.73,1.67,7.659243833236862,185.2817021645311,True,135.2556425801077,8964.824561196669,3.592814371257491
E0,2023-12-27,Chelsea,Crystal Palace,2-1,Under 2.5,0.6114611743356231,0.5720447390268855,1.99,1.93,13.836903066350214,250.59678476790666,False,-250.59678476790666,8714.227776428763,3.1088082901554515
E0,2023-12-27,Everton,Man City,1-3,Over 2.5,0.5695654619207094,0.6215994625352699,1.73,1.95,7.536707018601696,179.93584012138194,True,131.3531632886088,8845.580939717373,-11.282051282051286
E0,2023-12-28,Brighton,Tottenham,4-2,Over 2.5,0.7082688003638193,0.7589826030363226,1.44,1.44,9.293494837230455,265.3674281915212,True,116.7616684042693,8962.342608121642,0.0
