eq_flat,eq_pct5,eq_pct2,eq_kelly_full,eq_kelly_half
2545.415,2434.9881685196997,1650.1107548726984,1342.0934706254563,1744.6281343555797
2495.415,2313.2387600937145,1617.1085397752445,1207.8841235629106,1657.3967276378007
2445.415,2197.5768220890286,1584.7663689797396,1087.0957112066196,1574.5268912559106
2395.415,2087.697980984577,1553.0710416001448,1023.7919433928596,1528.6829587883853
2345.415,1983.3130819353482,1522.009620768142,987.5517750482397,1501.6268131869424
2295.415,1884.1474278385808,1491.5694283527791,888.7965975434157,1426.5454725275954
2245.415,1789.9400564466519,1461.7380397857235,799.9169377890742,1355.2181989012156
2871.5604000000003,2910.7027890664635,1827.8422596324626,1801.6455597465042,2203.781840139497
2821.5604000000003,2765.1676496131404,1791.2854144398134,1621.4810037718537,2093.592748132522
2771.5604000000003,2626.9092671324834,1755.4597061510171,1459.3329033946684,1988.9131107258959
2721.5604000000003,2495.563803775859,1720.3505120279967,1422.4558507961972,1963.783391102836
2671.5604000000003,2370.785613587066,1685.9435017874368,1280.2102657165774,1865.5942215476944
2621.5604000000003,2252.2463329077127,1652.224631751688,1152.1892391449196,1772.3145104703096
2571.5604000000003,2139.634016262327,1619.1801391166543,1152.1892391449196,1772.3145104703096
2864.2584,2765.9006135542777,1808.752454460321,1826.676210983399,2291.0674230559484
2814.2584,2627.605582876564,1772.5774053711145,1825.8698198179113,2290.561724093434
2764.2584,2496.2253037327355,1737.1258572636923,1702.2475722301874,2213.019397280923
2905.4832,2848.7542230073304,1835.2559579704498,1702.2475722301874,2213.019397280923
3123.1996,3468.9747369252837,1995.0820860696008,2214.7972168585593,2546.1913530340917
3073.1996,3295.5260000790195,1955.1804443482088,1993.3174951727033,2418.881785382387
3023.1996,3130.7497000750686,1916.0768354612446,1793.985745655433,2297.9376961132675
2973.1996,2974.2122150713153,1877.7552987520198,1614.5871710898896,2183.040811307604
3184.464,3602.557374161028,2036.4364373670862,2050.113961722137,2477.4729656663626
3527.1472,4837.093263322126,2315.577459348507,3455.193187257376,3326.461329454402
3477.1472,4595.23860015602,2269.265910161537,3280.015477049574,3242.135816059423
3427.1472,4365.476670148219,2223.880591958306,2952.013929344617,3080.029025256452
3564.45605,4964.8952514281,2346.023986605952,2952.013929344617,3080.029025256452
3514.45605,4716.650488856695,2299.103506873833,2737.6283473902613,2968.187782155931
3464.45605,4480.81796441386,2253.1214367363564,2500.35392090876,2839.5590998930843
3651.9714999999997,5321.040561379009,2422.119468782062,2886.2212572837952,3058.6667024594053
3789.9808999999996,6055.394176630589,2555.8295706280346,2886.2212572837952,3058.6667024594053
3739.9808999999996,5752.62446779906,2504.7129792154738,2886.2212572837952,3058.6667024594053
4157.155299999999,8152.472128578453,2922.673832926045,5294.336499833022,4334.664148857886
4107.155299999999,7744.84852214953,2864.2203562675245,4764.902849849719,4117.930941414992
