match_date,home_team,away_team,home_goals,away_goals,y,p_dc,p_lgbm,p_ensemble
2022-04-17,Giresunspor,Besiktas,0,0,0,,,
2022-04-18,Galatasaray,Yeni Malatyaspor,2,0,0,,,
2022-04-22,Rizespor,Fenerbahce,0,6,1,,,
2022-04-23,Gaziantep,Goztep,1,1,0,,,
2022-04-23,Karagumruk,Giresunspor,2,1,1,,,
2022-04-23,Ad. Demirspor,Trabzonspor,1,3,1,,,
2022-04-24,Buyuksehyr,Hatayspor,3,0,1,,,
2022-04-24,Yeni Malatyaspor,Konyaspor,2,3,1,,,
2022-04-24,Altay,Galatasaray,0,1,0,,,
2022-04-24,Antalyaspor,Kayserispor,1,1,0,,,
2022-04-25,Besiktas,Kasimpasa,0,3,1,,,
2022-04-25,Sivasspor,Alanyaspor,1,0,0,,,
2022-04-29,Fenerbahce,Gaziantep,3,2,1,,,
2022-04-29,Giresunspor,Ad. Demirspor,2,0,0,,,
2022-04-30,Kasimpasa,Buyuksehyr,2,3,1,,,
2022-04-30,Konyaspor,Karagumruk,1,2,1,,,
2022-04-30,Hatayspor,Altay,0,1,0,,,
2022-04-30,Trabzonspor,Antalyaspor,2,2,1,,,
2022-05-01,Alanyaspor,Yeni Malatyaspor,2,1,1,,,
2022-05-01,Kayserispor,Besiktas,2,3,1,,,
2022-05-01,Galatasaray,Sivasspor,2,3,1,,,
2022-05-01,Goztep,Rizespor,1,7,1,,,
2022-05-06,Gaziantep,Kayserispor,1,1,0,,,
2022-05-06,Hatayspor,Trabzonspor,1,1,0,,,
2022-05-07,Karagumruk,Goztep,3,1,1,,,
2022-05-07,Sivasspor,Kasimpasa,1,3,1,,,
2022-05-07,Ad. Demirspor,Alanyaspor,1,2,1,,,
2022-05-07,Buyuksehyr,Galatasaray,0,0,0,,,
2022-05-08,Altay,Giresunspor,1,1,0,,,
2022-05-08,Yeni Malatyaspor,Rizespor,1,3,1,,,
2022-05-08,Besiktas,Fenerbahce,1,1,0,,,
2022-05-09,Antalyaspor,Konyaspor,3,2,1,,,
2022-05-14,Kayserispor,Yeni Malatyaspor,3,0,1,,,
2022-05-15,Goztep,Besiktas,0,2,0,,,
2022-05-15,Trabzonspor,Altay,2,1,1,,,
2022-05-15,Konyaspor,Hatayspor,3,1,1,,,
2022-05-15,Alanyaspor,Gaziantep,3,0,1,,,
2022-05-15,Giresunspor,Buyuksehyr,1,1,0,,,
2022-05-15,Kasimpasa,Antalyaspor,2,4,1,,,
2022-05-15,Fenerbahce,Karagumruk,0,0,0,,,
2022-05-16,Galatasaray,Ad. Demirspor,3,2,1,,,
2022-05-16,Rizespor,Sivasspor,1,2,1,,,
2022-05-20,Antalyaspor,Galatasaray,1,1,0,,,
2022-05-20,Gaziantep,Rizespor,2,0,0,,,
2022-05-21,Altay,Kasimpasa,2,4,1,,,
2022-05-21,Sivasspor,Kayserispor,2,1,1,,,
2022-05-21,Besiktas,Konyaspor,1,1,0,,,
2022-05-21,Yeni Malatyaspor,Fenerbahce,0,5,1,,,
2022-05-22,Karagumruk,Alanyaspor,0,1,0,,,
2022-05-22,Ad. Demirspor,Goztep,7,0,1,,,
2022-05-22,Buyuksehyr,Trabzonspor,3,1,1,,,
2022-05-22,Hatayspor,Giresunspor,4,1,1,,,
2022-08-05,Istanbulspor,Trabzonspor,0,2,0,,,
2022-08-06,Sivasspor,Gaziantep,1,1,0,,,
2022-08-06,Besiktas,Kayserispor,1,0,0,,,
2022-08-07,Giresunspor,Ad. Demirspor,2,3,1,,,
2022-08-07,Karagumruk,Alanyaspor,2,4,1,,,
2022-08-07,Antalyaspor,Galatasaray,0,1,0,,,
2022-08-08,Buyuksehyr,Kasimpasa,4,0,1,,,
2022-08-08,Ankaragucu,Konyaspor,0,0,0,,,
2022-08-08,Fenerbahce,Umraniyespor,3,3,1,,,
2022-08-12,Trabzonspor,Hatayspor,1,0,0,,,
2022-08-13,Kayserispor,Istanbulspor,1,0,0,,,
2022-08-13,Ad. Demirspor,Sivasspor,3,0,1,,,
2022-08-13,Galatasaray,Giresunspor,0,1,0,,,
2022-08-14,Umraniyespor,Antalyaspor,0,1,0,,,
2022-08-14,Alanyaspor,Besiktas,3,3,1,,,
2022-08-14,Gaziantep,Ankaragucu,1,0,0,,,
2022-08-15,Konyaspor,Buyuksehyr,0,0,0,,,
2022-08-15,Kasimpasa,Fenerbahce,0,6,1,,,
2022-08-19,Umraniyespor,Galatasaray,0,1,0,,,
2022-08-20,Giresunspor,Kasimpasa,1,0,0,,,
2022-08-20,Hatayspor,Gaziantep,1,2,1,,,
2022-08-20,Antalyaspor,Trabzonspor,5,2,1,,,
2022-08-21,Buyuksehyr,Kayserispor,2,0,0,,,
2022-08-21,Besiktas,Karagumruk,4,1,1,,,
2022-08-22,Istanbulspor,Konyaspor,0,4,1,,,
2022-08-22,Sivasspor,Alanyaspor,1,1,0,,,
2022-08-22,Fenerbahce,Ad. Demirspor,4,2,1,,,
2022-08-26,Gaziantep,Antalyaspor,5,2,1,,,
2022-08-27,Karagumruk,Ankaragucu,4,1,1,,,
2022-08-27,Ad. Demirspor,Umraniyespor,1,0,0,,,
2022-08-27,Alanyaspor,Istanbulspor,0,1,0,,,
2022-08-28,Kasimpasa,Hatayspor,1,0,0,,,
2022-08-28,Kayserispor,Giresunspor,3,0,1,,,
2022-08-28,Trabzonspor,Galatasaray,0,0,0,,,
2022-08-29,Konyaspor,Fenerbahce,1,0,0,,,
2022-08-29,Besiktas,Sivasspor,3,1,1,,,
2022-09-02,Umraniyespor,Trabzonspor,0,1,0,,,
2022-09-03,Buyuksehyr,Alanyaspor,2,0,0,,,
2022-09-03,Sivasspor,Karagumruk,0,0,0,,,
2022-09-03,Fenerbahce,Kayserispor,2,0,0,,,
2022-09-03,Giresunspor,Konyaspor,0,1,0,,,
2022-09-04,Hatayspor,Ad. Demirspor,1,1,0,,,
2022-09-04,Ankaragucu,Besiktas,2,3,1,,,
2022-09-04,Antalyaspor,Kasimpasa,0,2,0,,,
2022-09-05,Galatasaray,Gaziantep,2,1,1,,,
2022-09-09,Alanyaspor,Ankaragucu,2,1,1,,,
2022-09-10,Konyaspor,Hatayspor,1,0,0,,,
2022-09-10,Karagumruk,Giresunspor,1,1,0,,,
2022-09-11,Sivasspor,Istanbulspor,1,1,0,,,
2022-09-11,Gaziantep,Umraniyespor,1,1,0,,,
2022-09-11,Kasimpasa,Galatasaray,2,3,1,,,
2022-09-11,Kayserispor,Antalyaspor,1,0,0,,,
2022-09-12,Besiktas,Buyuksehyr,0,1,0,,,
2022-09-12,Ad. Demirspor,Trabzonspor,3,2,1,,,
2022-09-16,Galatasaray,Konyaspor,2,1,1,,,
2022-09-16,Hatayspor,Kayserispor,0,4,1,,,
2022-09-17,Antalyaspor,Ad. Demirspor,0,3,1,,,
2022-09-17,Istanbulspor,Besiktas,2,2,1,,,
2022-09-17,Umraniyespor,Kasimpasa,1,2,1,,,
2022-09-18,Buyuksehyr,Karagumruk,0,0,0,,,
2022-09-18,Trabzonspor,Gaziantep,3,2,1,,,
2022-09-18,Ankaragucu,Sivasspor,2,1,1,,,
2022-09-18,Fenerbahce,Alanyaspor,5,0,1,,,
2022-10-01,Kasimpasa,Gaziantep,1,0,0,,,
2022-10-01,Ankaragucu,Buyuksehyr,1,2,1,,,
2022-10-01,Kayserispor,Trabzonspor,1,2,1,,,
2022-10-01,Ad. Demirspor,Galatasaray,0,0,0,,,
2022-10-02,Alanyaspor,Giresunspor,1,1,0,,,
2022-10-02,Sivasspor,Hatayspor,1,2,1,,,
